iso_i,iso_n,country_i,country_n,date,dD_hat_c,dS_hat_c
MEX,JPN,mexico,japan,161,0.95982096,0.94963949
MEX,MEX,mexico,mexico,161,1,1
MEX,POL,mexico,poland,161,0.90175113,1.0558014
MEX,ROU,mexico,romania,161,0.71005512,1.2930592
MEX,KOR,mexico,southkorea,161,1.0198481,0.976109
MEX,ESP,mexico,spain,161,0.88130307,1.1217328
MEX,SWE,mexico,sweden,161,0.87804348,1.4471678
MEX,GBR,mexico,unitedkingdom,161,0.90871525,0.95107835
MEX,USA,mexico,unitedstates,161,0.99412296,1.0059277
MEX,ROW,mexico,zz_row,161,1.0223308,0.99825221
POL,AUT,poland,austria,161,1.0047052,1.0544641
POL,CAN,poland,canada,161,0.78558299,0.99025235
POL,CZE,poland,czechrepublic,161,0.88918914,0.85218998
POL,DNK,poland,denmark,161,0.95114038,1.0011439
POL,FIN,poland,finland,161,0.9275834,0.93243242
POL,DEU,poland,germany,161,0.99124375,0.9980894
POL,GRC,poland,greece,161,0.52440398,0.99432515
POL,IND,poland,india,161,1.035929,1.4138872
POL,ITA,poland,italy,161,0.93787023,1.0013866
POL,JPN,poland,japan,161,1.0451443,0.86068944
POL,MEX,poland,mexico,161,0.78296479,0.98363962
POL,POL,poland,poland,161,1,1
POL,ROU,poland,romania,161,0.94285618,1.0625777
POL,KOR,poland,southkorea,161,0.78060506,1.1464352
POL,ESP,poland,spain,161,0.96597104,1.0029539
POL,SWE,poland,sweden,161,1.0714932,1.0291889
POL,GBR,poland,unitedkingdom,161,1.0071163,1.0349629
POL,USA,poland,unitedstates,161,1.0776715,1.0229594
POL,ROW,poland,zz_row,161,1.0528217,1.0335741
ROU,AUT,romania,austria,161,0.89717508,0.94405457
ROU,CAN,romania,canada,161,2.0721578,0.90688712
ROU,CZE,romania,czechrepublic,161,0.74334266,0.89656526
ROU,DNK,romania,denmark,161,0.45496486,0.96357114
ROU,FIN,romania,finland,161,1.0347982,0.85762483
ROU,DEU,romania,germany,161,0.82133526,0.99305997
ROU,GRC,romania,greece,161,0.8741815,0.87493273
ROU,IND,romania,india,161,0.84871231,1.2740318
ROU,ITA,romania,italy,161,0.8329384,0.96641198
ROU,JPN,romania,japan,161,1.0093918,0.9890395
ROU,MEX,romania,mexico,161,0.71220721,1.5686091
ROU,POL,romania,poland,161,0.8588359,1.0090386
ROU,ROU,romania,romania,161,1,1
ROU,KOR,romania,southkorea,161,0.8308738,0.7013534
ROU,ESP,romania,spain,161,0.73816935,0.74566419
ROU,SWE,romania,sweden,161,0.466954,0.81725227
ROU,GBR,romania,unitedkingdom,161,1.1148433,0.98092268
ROU,USA,romania,unitedstates,161,0.85007297,0.93868213
ROU,ROW,romania,zz_row,161,0.86420337,1.0038719
KOR,AUT,southkorea,austria,161,0.87959441,1.0616419
KOR,CAN,southkorea,canada,161,0.87301738,1.0579374
KOR,CZE,southkorea,czechrepublic,161,0.79423205,0.87416579
KOR,DNK,southkorea,denmark,161,1.4523753,0.93898476
KOR,FIN,southkorea,finland,161,0.95273609,0.9418667
