iso,country,date,L_hat_c,phistar_hat_c,psiS_hat_c,psiR_hat_c,DR2_c,chiC_hat_c,chiD_hat_c,AC_hat_c,AD_hat_c,AS_hat_c,kC_hat_c,kD_hat_c
CZE,czechrepublic,162,1.0002138,0.99020524,0.98188839,1.0060504,0.00004034,1.020017,1.0309985,1.003058,1.0327995,1.008339,0.99610803,0.98890271
CZE,czechrepublic,163,1.0021377,0.97333389,1.0774435,0.97475058,0.00003218,0.95764551,1.0106958,1.075801,0.97006343,0.98012296,0.99638538,0.99029433
CZE,czechrepublic,164,0.99957338,1.0657837,0.97371487,1.0094728,0.00004147,1.0415879,1.1042807,1.0054057,0.99621681,1.0170602,0.99655168,0.99120401
CZE,czechrepublic,165,1.0017072,0.9933397,1.082766,0.97122888,0.00004353,0.97535876,0.93901445,1.0041609,1.0674632,1.0264916,0.99673135,0.99423683
CZE,czechrepublic,166,0.99765658,1.0130716,0.99327762,1.0026052,0.00002782,1.032608,1.0294336,0.98929567,1.0224524,1.0249601,0.99655966,0.99251618
CZE,czechrepublic,167,0.99914585,1.038187,0.9806691,1.0074218,-4.53E-06,1.0489805,1.0024379,0.97533839,0.96719121,0.99257684,0.99675649,0.99363298
CZE,czechrepublic,168,1.0004274,1.0530283,0.91677534,1.0311044,0.00001628,1.0771386,0.9586902,0.97017232,0.98918104,1.0014646,0.99698961,0.99352169
CZE,czechrepublic,169,1.0055544,1.0777936,0.97376766,1.008717,0.00003289,1.0655546,1.0654773,0.98283572,1.0473901,1.009487,0.99761138,0.99150424
CZE,czechrepublic,170,1.0057361,1.0708059,1.0219654,0.99295382,0.00007628,1.0767383,1.0236026,0.96741903,1.0018568,1.0205505,0.99792437,0.9930304
CZE,czechrepublic,171,1.0014787,0.98978245,0.99323069,1.0022349,0.00006211,0.97089907,1.0053884,1.03423,0.99633162,1.0018009,0.99845484,0.99336102
CZE,czechrepublic,172,1,1.0183136,0.94434959,1.0182084,0.00005019,0.96347878,0.94996645,1.0460176,0.95022206,0.9801743,0.99838664,0.9941016
CZE,czechrepublic,173,0.99725796,1.0200315,1.0009576,0.9997094,0.00004463,1.1364093,1.0376456,0.95810394,1.0347043,1.0118979,0.99827875,0.99221882
CZE,czechrepublic,174,0.99513536,0.95076578,1.0561037,0.98295359,0.00005798,0.89162172,0.9788983,1.0743583,1.013314,1.0048114,0.99974253,0.99351477
CZE,czechrepublic,175,0.99659936,1.0397602,0.95072918,1.0160844,0.0000439,1.0037685,1.0250424,1.0190729,0.97182268,0.98981613,0.99896518,0.99403857
CZE,czechrepublic,176,0.99850714,1.0408493,0.99505868,1.0015093,0.00009209,0.99627043,0.93784814,1.005051,0.99636528,1.018572,0.99899623,0.99487502
CZE,czechrepublic,177,0.99850491,0.98647517,1.1546181,0.9530759,0.00006009,0.99715371,1.0473531,1.0204581,0.87687583,0.9616516,0.99887593,0.99249982
CZE,czechrepublic,178,1.0017112,0.98959384,0.88464312,1.0424121,0.00001851,1.0345683,1.0722949,0.98200686,1.0742988,1.0223463,0.9989852,0.99431314
CZE,czechrepublic,179,1.0023489,1.0906319,0.95359045,1.0144805,0.00006982,1.0818151,0.97101657,0.96783012,0.99413153,1.0089879,0.99914621,0.99719982
CZE,czechrepublic,180,1.0031956,1.0523721,0.92758229,1.0212392,0.00007573,1.0561429,0.94155843,0.98279916,1.0705177,1.0026585,0.99971188,0.99493876
CZE,czechrepublic,181,1.0042472,0.94819338,1.0083081,0.99778682,0.00008165,0.92521918,1.0455644,1.0415027,1.0004082,1.0039314,1.0002724,0.99180355
CZE,czechrepublic,182,1.0046521,0.98958819,1.0434925,0.98829186,0.00008952,0.98800418,0.98684538,1.0058998,1.0058099,1.010794,0.99959947,0.99484329
CZE,czechrepublic,183,1.0073669,1.0063005,0.99149194,1.0024183,0.00013185,0.96672775,0.97434445,1.0310602,1.0202271,1.0241347,0.99961382,0.9950907
CZE,czechrepublic,184,1.0012537,1.0116714,0.99307192,1.0019477,0.00008782,1.0516014,1.0402267,0.96173807,0.98402352,0.99785662,0.99940708,0.99444391
CZE,czechrepublic,185,1.0033389,1.027813,0.95407268,1.0127975,0.00013962,1.111758,1.0704315,0.98977358,1.0387496,1.0204963,0.99960382,0.99611646
CZE,czechrepublic,186,1.0035358,1.0236922,1.0180857,0.99525269,0.00013087,1.0165935,0.98930127,1.0296459,0.99914098,1.0080696,1.0012902,0.99907684
CZE,czechrepublic,187,1.0012435,0.99534945,1.0030947,0.99916903,0.00013681,1.0524742,1.0158962,0.99380767,0.95674134,0.99637376,1.001891,0.99832027
CZE,czechrepublic,188,1.0037259,1.0142475,0.98906823,1.0029468,0.00014679,1.0085624,1.0550468,1.0569858,1.0199198,1.0140271,1.0028845,0.9991339
CZE,czechrepublic,189,1.0082491,1.0064168,0.95820993,1.0111093,0.00012561,1.0003682,0.96743216,0.95589167,0.96430578,0.97967711,1.0038272,1.0022414
CZE,czechrepublic,190,1.004909,1.0563501,0.90623208,1.0236228,0.00016367,1.0364468,0.98759029,0.96769449,0.9755297,0.98076463,1.0031487,1.0005185
CZE,czechrepublic,191,1.0040708,1.0401997,0.9815355,1.0041183,0.00018446,1.1166494,1.0302673,0.9732384,1.0206035,0.99939248,1.0031896,0.99963826
CZE,czechrepublic,192,1.0034462,1.0933417,1.0369767,0.9919383,0.00021636,1.0368096,1.1035255,1.0371535,0.99153858,1.0076461,1.0049671,0.999986
CZE,czechrepublic,193,1.0074747,1.0593486,0.94709115,1.012059,0.00024628,1.1214329,1.0270001,0.90342329,1.048375,1.0266218,1.005685,1.003801
CZE,czechrepublic,194,1.0032083,1.0290494,1.0193512,0.99587261,0.00024902,1.056695,0.95940421,0.97293912,0.99604665,1.0088769,1.0061978,1.0036337
CZE,czechrepublic,195,1,0.93373352,0.92295413,1.0168205,0.00017526,0.80630846,0.84341376,1.0448299,0.96179616,0.97947429,1.0071213,1.0005729
CZE,czechrepublic,196,1.0019988,0.95159005,0.92157764,1.0155405,0.00009767,0.88649872,0.83007912,1.0612692,0.97827966,0.98845611,1.0033366,0.99478076
CZE,czechrepublic,197,0.99321763,1.0194312,0.97486359,1.0045202,0.00013037,1.0675142,0.92781988,0.96480875,0.99902364,1.0003489,1.0021977,0.98908333
CZE,czechrepublic,198,0.99256879,1.0418469,0.97605528,1.0041788,0.00015433,1.0978686,1.0366313,0.96300039,0.96288284,0.97392656,1.002862,0.98658509
